,model,Overall Precision,Overall Recall,Overall F1,Overall Accuracy
0,D1V1DE_bias-detection,0.6176470588235294,0.4701492537313433,0.5338983050847458,0.4666666666666667
1,d4data_bias-detection-model,0.6481481481481481,0.5876865671641791,0.6164383561643836,0.5248484848484849
2,valurank_distilroberta-bias,0.6695464362850972,0.5783582089552238,0.6206206206206206,0.5406060606060606
3,D1V1DE-on-BABE,0.2676767676767677,0.09888059701492537,0.1444141689373297,0.2387878787878788
4,D4DATA-on-BABE,0.7933450087565674,0.8451492537313433,0.8184281842818428,0.7563636363636363
5,VALURANK-on-BABE,0.2556053811659193,0.10634328358208955,0.15019762845849802,0.21818181818181817
6,D1V1DE-on-PRANJALI,0.6118421052631579,0.5205223880597015,0.5625,0.47393939393939394
7,D4DATA-on-PRANJALI,0.7075718015665796,0.5055970149253731,0.5897714907508161,0.5430303030303031
8,VALURANK-on-PRANJALI,0.6,0.458955223880597,0.5200845665961945,0.4496969696969697
9,D1V1DE-on-BABE-on-PRANJALI,0.5687103594080338,0.5018656716417911,0.533201189296333,0.4290909090909091
10,D4DATA-on-BABE-on-PRANJALI,0.7900552486187845,0.5335820895522388,0.6369710467706013,0.6048484848484849
11,VALURANK-on-BABE-on-PRANJALI,0.5723140495867769,0.5167910447761194,0.5431372549019607,0.4351515151515152
